id,prediction,rationale
95,0,Backstory contradicts constraints established in the novel.
136,0,Backstory contradicts immutable narrative constraints.
59,1,Backstory does not contradict the novel narrative.
60,1,Backstory does not contradict the novel narrative.
124,0,Backstory contradicts immutable narrative constraints.
111,1,Backstory does not contradict the novel narrative.
135,0,Backstory contradicts immutable narrative constraints.
27,1,Backstory does not contradict the novel narrative.
110,1,Backstory does not contradict the novel narrative.
42,1,Backstory does not contradict the novel narrative.
56,1,Backstory does not contradict the novel narrative.
80,1,Backstory does not contradict the novel narrative.
28,1,Backstory does not contradict the novel narrative.
101,0,Backstory contradicts constraints established in the novel.
91,1,Backstory does not contradict the novel narrative.
24,1,Backstory does not contradict the novel narrative.
119,1,Backstory does not contradict the novel narrative.
93,0,Backstory contradicts constraints established in the novel.
72,1,Backstory does not contradict the novel narrative.
16,1,Backstory does not contradict the novel narrative.
30,1,Backstory does not contradict the novel narrative.
97,1,Backstory does not contradict the novel narrative.
22,1,Backstory does not contradict the novel narrative.
53,1,Backstory does not contradict the novel narrative.
58,1,Backstory does not contradict the novel narrative.
81,0,Backstory contradicts constraints established in the novel.
47,1,Backstory does not contradict the novel narrative.
7,0,Backstory contradicts constraints established in the novel.
121,1,Backstory does not contradict the novel narrative.
129,1,Backstory does not contradict the novel narrative.
51,0,Backstory contradicts constraints established in the novel.
127,0,Backstory contradicts constraints established in the novel.
133,1,Backstory does not contradict the novel narrative.
52,1,Backstory does not contradict the novel narrative.
114,1,Backstory does not contradict the novel narrative.
2,1,Backstory does not contradict the novel narrative.
33,1,Backstory does not contradict the novel narrative.
15,1,Backstory does not contradict the novel narrative.
82,0,Backstory contradicts constraints established in the novel.
37,1,Backstory does not contradict the novel narrative.
3,0,Backstory contradicts constraints established in the novel.
103,0,Backstory contradicts constraints established in the novel.
94,1,Backstory does not contradict the novel narrative.
85,1,Backstory does not contradict the novel narrative.
21,1,Backstory does not contradict the novel narrative.
49,1,Backstory does not contradict the novel narrative.
140,1,Backstory does not contradict the novel narrative.
64,1,Backstory does not contradict the novel narrative.
131,1,Backstory does not contradict the novel narrative.
61,1,Backstory does not contradict the novel narrative.
86,1,Backstory does not contradict the novel narrative.
38,1,Backstory does not contradict the novel narrative.
132,1,Backstory does not contradict the novel narrative.
77,1,Backstory does not contradict the novel narrative.
70,0,Backstory contradicts constraints established in the novel.
115,1,Backstory does not contradict the novel narrative.
78,1,Backstory does not contradict the novel narrative.
87,0,Backstory contradicts constraints established in the novel.
75,1,Backstory does not contradict the novel narrative.
44,1,Backstory does not contradict the novel narrative.
